year,month,day,hour,minute,second,recnt_Temp,recnt_Humid,Target_Temperature
2020,02,22,01,50,00,71.0,63.0,71.0
2020,02,22,02,00,00,71.0,63.0,71.2
2020,02,22,02,10,00,71.2,62.2,72.0
2020,02,22,02,20,00,72.0,61.6,72.0
2020,02,22,02,30,00,72.0,61.2,72.0
2020,02,22,02,40,00,72.0,61.0,72.8
2020,02,22,02,50,00,72.8,60.4,73.0
2020,02,22,03,00,00,73.0,59.4,74.0
2020,02,22,03,10,00,74.0,59.0,74.2
2020,02,22,03,20,00,74.2,58.0,74.6
2020,02,22,03,30,00,74.6,56.8,75.2
2020,02,22,03,40,00,75.2,55.6,76.0
2020,02,22,03,50,00,76.0,54.2,76.8
2020,02,22,04,00,00,76.8,52.8,77.4
2020,02,22,04,10,00,77.4,51.4,78.2
2020,02,22,04,20,00,78.2,49.8,79.0
2020,02,22,04,30,00,79.0,47.8,79.8
2020,02,22,04,40,00,79.8,45.4,80.4
2020,02,22,04,50,00,80.4,43.8,81.0
2020,02,22,05,00,00,81.0,42.6,81.4
2020,02,22,05,10,00,81.4,42.8,82.4
2020,02,22,05,20,00,82.4,41.2,83.2
2020,02,22,05,30,00,83.2,40.0,84.0
2020,02,22,05,40,00,84.0,37.6,84.0
2020,02,22,05,50,00,84.0,35.6,84.6
2020,02,22,06,00,00,84.6,34.8,85.4
2020,02,22,06,10,00,85.4,34.0,85.6
2020,02,22,06,20,00,85.6,32.6,86.8
2020,02,22,06,30,00,86.8,31.2,87.2
2020,02,22,06,40,00,87.2,29.6,88.6
2020,02,22,06,50,00,88.6,29.4,89.4
2020,02,22,07,00,00,89.4,27.6,89.0
2020,02,22,07,10,00,89.0,25.8,89.6
2020,02,22,07,20,00,89.6,23.6,90.4
2020,02,22,07,30,00,90.4,23.2,91.0
2020,02,22,07,40,00,91.0,23.0,91.4
2020,02,22,07,50,00,91.4,22.0,92.2
2020,02,22,08,00,00,92.2,21.6,91.8
2020,02,22,08,10,00,91.8,21.2,92.0
2020,02,22,08,20,00,92.0,20.8,92.6
2020,02,22,08,30,00,92.6,21.0,92.6
2020,02,22,08,40,00,92.6,21.0,93.2
2020,02,22,08,50,00,93.2,20.6,93.8
2020,02,22,09,00,00,93.8,20.0,94.0
2020,02,22,09,10,00,94.0,20.4,94.2
2020,02,22,09,20,00,94.2,19.2,94.4
2020,02,22,09,30,00,94.4,20.4,94.8
2020,02,22,09,40,00,94.8,20.2,94.0
2020,02,22,09,50,00,94.0,20.0,94.6
2020,02,22,10,00,00,94.6,20.0,94.6
2020,02,22,10,10,00,94.6,20.0,95.0
2020,02,22,10,20,00,95.0,19.8,94.6
2020,02,22,10,30,00,94.6,20.6,94.4
2020,02,22,10,40,00,94.4,20.8,93.8
2020,02,22,10,50,00,93.8,20.6,93.8
2020,02,22,11,00,00,93.8,21.0,93.0
2020,02,22,11,10,00,93.0,21.0,93.0
2020,02,22,11,20,00,93.0,21.0,92.6
2020,02,22,11,30,00,92.6,22.2,91.6
2020,02,22,11,40,00,91.6,23.2,91.0
2020,02,22,11,50,00,91.0,24.0,89.8
2020,02,22,12,00,00,89.8,24.6,89.0
2020,02,22,12,10,00,89.0,25.0,88.2
2020,02,22,12,20,00,88.2,25.8,88.0
2020,02,22,12,30,00,88.0,26.0,87.4
2020,02,22,12,40,00,87.4,27.0,87.0
2020,02,22,12,50,00,87.0,27.4,86.0
2020,02,22,13,00,00,86.0,28.0,86.0
2020,02,22,13,10,00,86.0,28.4,85.6
2020,02,22,13,20,00,85.6,29.0,85.0
2020,02,22,13,30,00,85.0,29.4,85.0
2020,02,22,13,40,00,85.0,30.0,84.6
2020,02,22,13,50,00,84.6,31.0,84.4
2020,02,22,14,00,00,84.4,31.4,84.0
2020,02,22,14,10,00,84.0,32.0,84.0
2020,02,22,14,20,00,84.0,33.0,84.0
2020,02,22,14,30,00,84.0,33.0,83.4
2020,02,22,14,40,00,83.4,33.4,83.0
2020,02,22,14,50,00,83.0,34.4,82.8
2020,02,22,15,00,00,82.8,35.2,82.2
2020,02,22,15,10,00,82.2,36.0,81.8
2020,02,22,15,20,00,81.8,37.2,81.0
2020,02,22,15,30,00,81.0,38.6,81.0
2020,02,22,15,40,00,81.0,39.0,81.0
2020,02,22,15,50,00,81.0,40.8,80.4
2020,02,22,16,00,00,80.4,42.4,79.8
2020,02,22,16,10,00,79.8,43.6,79.0
2020,02,22,16,20,00,79.0,44.8,79.0
2020,02,22,16,30,00,79.0,45.8,78.8
2020,02,22,16,40,00,78.8,47.2,78.2
2020,02,22,16,50,00,78.2,48.8,77.4
2020,02,22,17,00,00,77.4,50.6,77.8
2020,02,22,17,10,00,77.8,51.0,77.0
2020,02,22,17,20,00,77.0,51.2,76.8
