year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature,Target_Humidity
2020.0,02.0,21.0,19.0,50.0,00.0,61.4,74.0,61.6
2020.0,02.0,21.0,20.0,00.0,00.0,61.6,74.0,61.8
2020.0,02.0,21.0,20.0,10.0,00.0,61.8,74.0,61.0
2020.0,02.0,21.0,20.0,20.0,00.0,61.0,74.0,61.0
2020.0,02.0,21.0,20.0,30.0,00.0,61.0,74.0,61.0
2020.0,02.0,21.0,20.0,40.0,00.0,61.0,74.0,61.8
2020.0,02.0,21.0,20.0,50.0,00.0,61.8,73.8,61.6
2020.0,02.0,21.0,21.0,00.0,00.0,61.6,74.0,62.4
2020.0,02.0,21.0,21.0,10.0,00.0,62.4,73.0,62.0
2020.0,02.0,21.0,21.0,20.0,00.0,62.0,73.2,62.4
2020.0,02.0,21.0,21.0,30.0,00.0,62.4,73.0,62.2
2020.0,02.0,21.0,21.0,40.0,00.0,62.2,73.0,62.0
2020.0,02.0,21.0,21.0,50.0,00.0,62.0,73.0,63.0
2020.0,02.0,21.0,22.0,00.0,00.0,63.0,72.8,62.8
2020.0,02.0,21.0,22.0,10.0,00.0,62.8,73.0,63.6
2020.0,02.0,21.0,22.0,20.0,00.0,63.6,72.2,64.2
2020.0,02.0,21.0,22.0,30.0,00.0,64.2,72.0,65.0
2020.0,02.0,21.0,22.0,40.0,00.0,65.0,71.6,65.4
2020.0,02.0,21.0,22.0,50.0,00.0,65.4,71.2,65.4
2020.0,02.0,21.0,23.0,00.0,00.0,65.4,71.0,65.0
2020.0,02.0,21.0,23.0,10.0,00.0,65.0,71.0,65.8
2020.0,02.0,21.0,23.0,20.0,00.0,65.8,71.0,66.0
2020.0,02.0,21.0,23.0,30.0,00.0,66.0,71.0,65.0
2020.0,02.0,21.0,23.0,40.0,00.0,65.0,71.0,64.8
2020.0,02.0,21.0,23.0,50.0,00.0,64.8,71.6,64.8
2020.0,02.0,22.0,00.0,00.0,00.0,64.8,71.0,64.0
2020.0,02.0,22.0,00.0,10.0,00.0,64.0,71.0,63.8
2020.0,02.0,22.0,00.0,20.0,00.0,63.8,71.2,63.6
2020.0,02.0,22.0,00.0,30.0,00.0,63.6,71.2,64.0
2020.0,02.0,22.0,00.0,40.0,00.0,64.0,71.0,64.0
2020.0,02.0,22.0,00.0,50.0,00.0,64.0,71.0,63.2
2020.0,02.0,22.0,01.0,00.0,00.0,63.2,71.0,63.4
2020.0,02.0,22.0,01.0,10.0,00.0,63.4,71.0,63.0
2020.0,02.0,22.0,01.0,20.0,00.0,63.0,71.0,63.0
2020.0,02.0,22.0,01.0,30.0,00.0,63.0,71.0,62.8
2020.0,02.0,22.0,01.0,40.0,00.0,62.8,70.8,63.0
2020.0,02.0,22.0,01.0,50.0,00.0,63.0,71.0,63.0
2020.0,02.0,22.0,02.0,00.0,00.0,63.0,71.0,62.2
2020.0,02.0,22.0,02.0,10.0,00.0,62.2,71.2,61.6
2020.0,02.0,22.0,02.0,20.0,00.0,61.6,72.0,61.2
2020.0,02.0,22.0,02.0,30.0,00.0,61.2,72.0,61.0
2020.0,02.0,22.0,02.0,40.0,00.0,61.0,72.0,60.4
2020.0,02.0,22.0,02.0,50.0,00.0,60.4,72.8,59.4
2020.0,02.0,22.0,03.0,00.0,00.0,59.4,73.0,59.0
2020.0,02.0,22.0,03.0,10.0,00.0,59.0,74.0,58.0
2020.0,02.0,22.0,03.0,20.0,00.0,58.0,74.2,56.8
2020.0,02.0,22.0,03.0,30.0,00.0,56.8,74.6,55.6
2020.0,02.0,22.0,03.0,40.0,00.0,55.6,75.2,54.2
2020.0,02.0,22.0,03.0,50.0,00.0,54.2,76.0,52.8
2020.0,02.0,22.0,04.0,00.0,00.0,52.8,76.8,51.4
2020.0,02.0,22.0,04.0,10.0,00.0,51.4,77.4,49.8
2020.0,02.0,22.0,04.0,20.0,00.0,49.8,78.2,47.8
2020.0,02.0,22.0,04.0,30.0,00.0,47.8,79.0,45.4
2020.0,02.0,22.0,04.0,40.0,00.0,45.4,79.8,43.8
2020.0,02.0,22.0,04.0,50.0,00.0,43.8,80.4,42.6
2020.0,02.0,22.0,05.0,00.0,00.0,42.6,81.0,42.8
2020.0,02.0,22.0,05.0,10.0,00.0,42.8,81.4,41.2
2020.0,02.0,22.0,05.0,20.0,00.0,41.2,82.4,40.0
2020.0,02.0,22.0,05.0,30.0,00.0,40.0,83.2,37.6
2020.0,02.0,22.0,05.0,40.0,00.0,37.6,84.0,35.6
2020.0,02.0,22.0,05.0,50.0,00.0,35.6,84.0,34.8
2020.0,02.0,22.0,06.0,00.0,00.0,34.8,84.6,34.0
2020.0,02.0,22.0,06.0,10.0,00.0,34.0,85.4,32.6
2020.0,02.0,22.0,06.0,20.0,00.0,32.6,85.6,31.2
2020.0,02.0,22.0,06.0,30.0,00.0,31.2,86.8,29.6
2020.0,02.0,22.0,06.0,40.0,00.0,29.6,87.2,29.4
2020.0,02.0,22.0,06.0,50.0,00.0,29.4,88.6,27.6
2020.0,02.0,22.0,07.0,00.0,00.0,27.6,89.4,25.8
2020.0,02.0,22.0,07.0,10.0,00.0,25.8,89.0,23.6
2020.0,02.0,22.0,07.0,20.0,00.0,23.6,89.6,23.2
2020.0,02.0,22.0,07.0,30.0,00.0,23.2,90.4,23.0
2020.0,02.0,22.0,07.0,40.0,00.0,23.0,91.0,22.0
2020.0,02.0,22.0,07.0,50.0,00.0,22.0,91.4,21.6
2020.0,02.0,22.0,08.0,00.0,00.0,21.6,92.2,21.2
2020.0,02.0,22.0,08.0,10.0,00.0,21.2,91.8,20.8
2020.0,02.0,22.0,08.0,20.0,00.0,20.8,92.0,21.0
2020.0,02.0,22.0,08.0,30.0,00.0,21.0,92.6,21.0
2020.0,02.0,22.0,08.0,40.0,00.0,21.0,92.6,20.6
2020.0,02.0,22.0,08.0,50.0,00.0,20.6,93.2,20.0
2020.0,02.0,22.0,09.0,00.0,00.0,20.0,93.8,20.4
2020.0,02.0,22.0,09.0,10.0,00.0,20.4,94.0,19.2
2020.0,02.0,22.0,09.0,20.0,00.0,19.2,94.2,20.4
2020.0,02.0,22.0,09.0,30.0,00.0,20.4,94.4,20.2
