created_at,entry_id,hum
2020-01-05 10:13:32 UTC,700012,"35.00

"
2020-01-05 10:13:50 UTC,700013,"35.00

"
2020-01-05 10:14:08 UTC,700014,"35.00

"
2020-01-05 10:14:23 UTC,700015,"35.00

"
2020-01-05 10:14:40 UTC,700016,"35.00

"
2020-01-05 10:14:55 UTC,700017,"35.00

"
2020-01-05 10:15:10 UTC,700018,"35.00

"
2020-01-05 10:15:25 UTC,700019,"35.00

"
2020-01-05 10:15:41 UTC,700020,"35.00

"
2020-01-05 10:15:57 UTC,700021,"34.00

"
2020-01-05 10:16:12 UTC,700022,"34.00

"
2020-01-05 10:16:27 UTC,700023,"34.00

"
2020-01-05 10:16:43 UTC,700024,"34.00

"
2020-01-05 10:16:58 UTC,700025,"34.00

"
2020-01-05 10:17:13 UTC,700026,"34.00

"
2020-01-05 10:17:28 UTC,700027,"34.00

"
2020-01-05 10:17:46 UTC,700028,"34.00

"
2020-01-05 10:18:10 UTC,700029,"34.00

"
2020-01-05 10:18:26 UTC,700030,"34.00

"
2020-01-05 10:18:42 UTC,700031,"34.00

"
2020-01-05 10:18:58 UTC,700032,"34.00

"
2020-01-05 10:19:13 UTC,700033,"34.00

"
2020-01-05 10:19:29 UTC,700034,"34.00

"
2020-01-05 10:19:45 UTC,700035,"34.00

"
2020-01-05 10:20:00 UTC,700036,"34.00

"
2020-01-05 10:20:17 UTC,700037,"34.00

"
2020-01-05 10:20:40 UTC,700038,"34.00

"
2020-01-05 10:20:55 UTC,700039,"34.00

"
2020-01-05 10:21:13 UTC,700040,"34.00

"
2020-01-05 10:21:28 UTC,700041,"34.00

"
2020-01-05 10:21:59 UTC,700042,"34.00

"
2020-01-05 10:22:15 UTC,700043,"34.00

"
2020-01-05 10:22:32 UTC,700044,"34.00

"
2020-01-05 10:22:55 UTC,700045,"34.00

"
2020-01-05 10:23:12 UTC,700046,"34.00

"
2020-01-05 10:23:27 UTC,700047,"34.00

"
2020-01-05 10:23:42 UTC,700048,"34.00

"
2020-01-05 10:24:04 UTC,700049,"34.00

"
2020-01-05 10:24:25 UTC,700050,"34.00

"
2020-01-05 10:24:43 UTC,700051,"34.00

"
2020-01-05 10:25:00 UTC,700052,"34.00

"
2020-01-05 10:25:18 UTC,700053,"34.00

"
2020-01-05 10:25:36 UTC,700054,"34.00

"
2020-01-05 10:25:52 UTC,700055,"34.00

"
2020-01-05 10:26:09 UTC,700056,"34.00

"
2020-01-05 10:26:26 UTC,700057,"34.00

"
2020-01-05 10:26:42 UTC,700058,"34.00

"
2020-01-05 10:26:59 UTC,700059,"34.00

"
2020-01-05 10:27:15 UTC,700060,"34.00

"
2020-01-05 10:27:33 UTC,700061,"34.00

"
2020-01-05 10:27:48 UTC,700062,"34.00

"
2020-01-05 10:28:03 UTC,700063,"34.00

"
2020-01-05 10:28:20 UTC,700064,"34.00

"
2020-01-05 10:28:38 UTC,700065,"34.00

"
2020-01-05 10:28:54 UTC,700066,"34.00

"
2020-01-05 10:29:11 UTC,700067,"34.00

"
2020-01-05 10:29:29 UTC,700068,"34.00

"
2020-01-05 10:29:45 UTC,700069,"34.00

"
2020-01-05 10:30:03 UTC,700070,"34.00

"
2020-01-05 10:30:22 UTC,700071,"34.00

"
2020-01-05 10:30:38 UTC,700072,"34.00

"
2020-01-05 10:30:54 UTC,700073,"35.00

"
2020-01-05 10:31:11 UTC,700074,"35.00

"
2020-01-05 10:31:28 UTC,700075,"35.00

"
2020-01-05 10:31:45 UTC,700076,"35.00

"
2020-01-05 10:32:03 UTC,700077,"35.00

"
2020-01-05 10:32:26 UTC,700078,"35.00

"
2020-01-05 10:32:42 UTC,700079,"35.00

"
2020-01-05 10:32:59 UTC,700080,"35.00

"
2020-01-05 10:33:20 UTC,700081,"35.00

"
2020-01-05 10:33:35 UTC,700082,"35.00

"
2020-01-05 10:33:51 UTC,700083,"35.00

"
2020-01-05 10:34:08 UTC,700084,"35.00

"
2020-01-05 10:34:25 UTC,700085,"35.00

"
2020-01-05 10:34:40 UTC,700086,"35.00

"
2020-01-05 10:34:57 UTC,700087,"35.00

"
2020-01-05 10:35:14 UTC,700088,"35.00

"
2020-01-05 10:35:35 UTC,700089,"35.00

"
2020-01-05 10:35:51 UTC,700090,"35.00

"
2020-01-05 10:36:08 UTC,700091,"35.00

"
2020-01-05 10:36:23 UTC,700092,"35.00

"
2020-01-05 10:36:39 UTC,700093,"35.00

"
2020-01-05 10:36:57 UTC,700094,"35.00

"
2020-01-05 10:37:17 UTC,700095,"35.00

"
2020-01-05 10:37:35 UTC,700096,"36.00

"
2020-01-05 10:37:50 UTC,700097,"36.00

"
2020-01-05 10:38:12 UTC,700098,"36.00

"
2020-01-05 10:38:28 UTC,700099,"36.00

"
2020-01-05 10:38:51 UTC,700100,"36.00

"
2020-01-05 10:39:06 UTC,700101,"36.00

"
2020-01-05 10:39:28 UTC,700102,"36.00

"
2020-01-05 10:39:43 UTC,700103,"36.00

"
2020-01-05 10:40:01 UTC,700104,"36.00

"
2020-01-05 10:40:20 UTC,700105,"36.00

"
2020-01-05 10:40:39 UTC,700106,"36.00

"
2020-01-05 10:41:01 UTC,700107,"36.00

"
2020-01-05 10:41:20 UTC,700108,"36.00

"
2020-01-05 10:41:45 UTC,700109,"36.00

"
2020-01-05 10:42:02 UTC,700110,"36.00

"
2020-01-05 10:42:19 UTC,700111,"36.00

"
